#Archive/File	Name	Time	Size	Type
Archive	GSE10940_RAW.tar	01/17/2013 14:37:32	43069440	TAR
File	GSM277408.CEL.gz	03/26/2008 09:18:55	3621770	CEL
File	GSM277409.CEL.gz	03/26/2008 09:18:58	3617122	CEL
File	GSM277410.CEL.gz	03/26/2008 09:19:00	3613657	CEL
File	GSM277411.CEL.gz	03/26/2008 09:19:03	3568317	CEL
File	GSM277412.CEL.gz	03/26/2008 09:19:06	3563745	CEL
File	GSM277413.CEL.gz	03/26/2008 09:19:08	3579275	CEL
File	GSM277414.CEL.gz	03/26/2008 09:19:11	3629974	CEL
File	GSM277415.CEL.gz	03/26/2008 09:19:14	3609383	CEL
File	GSM277416.CEL.gz	03/26/2008 09:19:16	3597859	CEL
File	GSM277417.CEL.gz	03/26/2008 09:19:19	3566941	CEL
File	GSM277418.CEL.gz	03/26/2008 09:19:22	3525802	CEL
File	GSM277419.CEL.gz	03/26/2008 09:19:25	3559937	CEL
